time_min,feed_in_Lh,feed_out_Lh,draw_cond_mScm,feed_cond_mScm,draw_temp_C,feed_temp_C,RO_TMP_bar,FO_TMP_bar,Jw
31.52165,346.5937,298.5113,65.0344,31.003,25.4907,24.5864,48.7719,0.0087,3.484231884057971
32.02081333333334,349.4403,300.5296,64.9972,31.3439,25.5249,24.6323,48.6887,0.01,3.544253623188403
32.523305,349.5525,301.1127,64.9726,31.2585,25.5586,24.6665,48.3166,0.0099,3.510130434782608
33.021636666666666,349.3931,301.1819,64.9489,31.1539,25.5811,24.689,48.457899999999995,0.009,3.4935652173913057
33.524145,351.1691,302.6444,64.93,31.3882,25.6152,24.7231,49.00685,0.01,3.5162826086956516
34.023325,353.4135,299.4548,64.9727,31.5102,25.6377,24.769,48.524950000000004,0.0059,3.9100507246376823
34.52332,350.7574,293.1234,64.973,28.8459,25.6714,24.8032,48.829750000000004,0.0047,4.176376811594204
35.02581166666666,348.3874,294.6312,64.9811,27.0015,25.6938,24.8262,48.5535,0.0053,3.8953768115942053
35.524975000000005,350.6501,298.0103,64.9709,28.1417,25.7393,24.7573,48.888850000000005,0.0077,3.8144782608695675
36.025819999999996,350.2444,297.4296,64.9437,28.9645,25.7617,24.7119,49.208650000000006,0.0065,3.827159420289854
36.525814999999994,349.2276,295.6948,64.9212,29.0147,25.7954,24.7231,48.7188,0.0066,3.879188405797102
37.024995,349.7769,296.2942,64.8867,28.8588,25.8296,24.769,48.69965,0.0073,3.8755579710144943
37.524143333333335,350.6593,297.5047,64.8813,28.9714,25.8521,24.8145,48.09465,0.0064,3.851782608695649
38.024155,350.1398,296.9593,64.8587,29.1115,25.8745,24.8716,48.85645,0.0049,3.8536594202898544
38.52666333333333,349.4801,296.2032,64.847,29.3165,25.9087,24.917,48.36815,0.0068,3.8606449275362325
39.02582666666667,349.9504,296.5638,64.8305,29.397,25.9424,24.9629,48.95105,0.0058,3.8685942028985494
39.52663666666667,350.3253,297.0644,64.7943,29.5204,25.9648,24.9971,48.2199,0.0059,3.8594855072463803
40.02831333333334,349.1119,297.1065,64.7642,29.5995,25.9878,25.0312,48.6686,0.0053,3.768507246376812
40.52581333333333,350.6547,298.337,64.7178,29.7657,26.0215,25.0767,48.597449999999995,0.0055,3.7911376811594204
41.02580833333333,352.0548,299.5244,64.7001,29.8281,26.0439,25.1221,48.74355,0.0067,3.8065507246376797
41.52663666666667,349.5722,297.6054,64.6794,29.8919,26.0776,25.1562,48.4982,0.0046,3.7657101449275387
42.029145,348.1542,296.4912,64.6502,30.0194,26.1006,25.2021,48.93755,0.0044,3.7436956521739138
42.52664333333333,353.0297,300.9135,64.6384,30.2019,26.1343,25.2363,48.7577,0.0076,3.7765362318840574
43.02832,348.773,296.8885,64.6247,30.2675,26.168,25.2817,48.717699999999994,0.0036,3.759746376811594
43.52748333333333,349.6499,298.2781,64.5818,30.4457,26.1909,25.3159,48.42985,0.0045,3.7225942028985513
44.029975,349.496,298.173,64.5766,30.4906,26.2134,25.3501,49.24695,0.0041,3.719057971014491
44.529138333333336,349.8881,298.4358,64.5462,30.6579,26.2471,25.3843,48.5517,0.0053,3.7284275362318864
45.030815,351.403,300.0363,64.5239,30.6191,26.27,25.4302,48.897450000000006,0.0048,3.722224637681162
45.528348333333334,349.2962,298.0162,64.5101,30.7794,26.3037,25.4644,48.59305,0.0053,3.715942028985505
46.03080666666666,350.7908,299.7338,64.4881,30.9006,26.3149,25.4985,49.258,0.0056,3.6997826086956533
46.529136666666666,350.2912,299.1442,64.4879,30.9579,26.3486,25.5327,48.572050000000004,0.004,3.706304347826086
47.031645000000005,350.5463,299.5284,64.4681,31.1434,26.3716,25.5669,49.23025,0.0054,3.6969492753623183
47.529145,352.4293,300.781,64.4307,31.283,26.4053,25.6123,48.961650000000006,0.0072,3.742630434782609
48.03080666666666,347.898,298.2368,64.4131,31.2732,26.4277,25.6465,48.9961,0.0047,3.5986376811594205
48.525803333333336,352.1103,301.0723,64.3934,31.4354,26.4619,25.6807,49.1588,0.0058,3.69840579710145
49.03082166666666,347.7599,296.9275,64.3792,31.4736,26.4844,25.7148,48.7193,0.0061,3.683507246376812
49.52915666666667,345.3008,295.063,64.3783,31.5665,26.5181,25.749,48.82295,0.0039,3.6404202898550717
50.03332833333333,350.7785,300.4294,64.3634,31.6507,26.5522,25.7832,49.15015,0.0036,3.648485507246378
50.532484999999994,346.9049,296.9978,64.3478,31.6217,26.5747,25.8062,48.59385,0.0034,3.6164565217391313
51.03081666666667,350.8334,300.5407,64.3262,31.7726,26.6084,25.8516,48.9721,0.0071,3.644398550724635
51.531643333333335,351.2477,300.4709,64.3167,31.8469,26.6309,25.8862,48.57055,0.0055,3.6794782608695678
52.03248833333334,352.478,301.9999,64.3089,31.8613,26.6538,25.9204,48.7018,0.006,3.657833333333332
52.533315,350.2438,300.1565,64.283,31.9848,26.6875,25.9546,48.8293,0.0049,3.629514492753625
53.031675,351.3634,300.6746,64.2682,32.0538,26.7212,25.9888,49.1285,0.0072,3.673101449275363
53.53248,354.3025,299.7357,64.2666,32.0914,26.7441,26.0229,48.71255,0.0054,3.9541159420289853
54.033339999999995,354.5361,294.8894,64.2458,30.08,26.7666,26.0454,48.884699999999995,0.0032,4.322224637681156
54.534168333333334,348.016,293.163,64.2545,26.9166,26.8003,26.0571,49.007149999999996,0.0028,3.9748550724637686
55.03581,349.4709,295.0888,64.2504,28.2355,26.8345,25.9771,48.8527,0.0024,3.9407318840579695
55.53332666666667,351.8754,297.7298,64.2162,29.2076,26.8682,25.8745,48.455,0.0026,3.9235942028985504
56.03413833333333,354.4744,298.2988,64.2047,29.444,26.9019,25.8403,48.6799,0.0044,4.070695652173911
56.53416666666667,345.8482,290.1517,64.1867,29.1434,26.9248,25.8633,48.1789,-0.0005,4.035978260869566
57.036658333333335,348.6835,293.3217,64.1772,29.3102,26.9585,25.9204,48.630700000000004,0.0002,4.011724637681156
57.53414166666666,353.5389,298.2786,64.151,29.414,26.9697,25.9658,48.78555,0.0051,4.004369565217393
58.03581666666666,348.0227,292.9896,64.1451,29.5714,27.0034,26.0,49.4028,0.0028,3.9879057971014484
58.536645,348.7123,293.7337,64.1447,29.7344,27.0264,26.0454,48.83754999999999,0.0031,3.9839565217391324
59.035825,350.0341,294.9904,64.127,29.8259,27.0601,26.0796,49.44945,0.0044,3.988673913043478
59.53831666666667,349.4775,293.7818,64.1209,29.9153,27.0825,26.1138,48.72185,0.003,4.035920289855076
60.03832833333333,349.4237,295.0237,64.0921,30.0862,27.1167,26.1479,48.499399999999994,0.0027,3.9420289855072443
60.53749166666667,348.838,294.2797,64.0585,30.127,27.1392,26.1938,49.133300000000006,0.0049,3.9535000000000022
61.03830333333334,349.3066,295.6889,64.0446,30.3727,27.1729,26.2393,48.3524,0.0029,3.885340579710146
61.538315,349.8393,296.0153,64.0039,30.488,27.1953,26.2734,48.394450000000006,0.0045,3.9002898550724603
62.03914333333333,354.4572,300.3156,63.9625,30.4971,27.2295,26.3076,49.0045,0.0045,3.9233043478260856
62.54000333333333,351.2396,297.5404,63.9574,30.5633,27.252,26.3418,48.660399999999996,0.007,3.8912463768115955
63.038318333333336,347.8005,294.1954,63.958,30.6813,27.2744,26.376,48.91275,0.0045,3.8844275362318834
63.53914666666667,349.7982,296.0374,63.9545,30.8772,27.2969,26.3989,48.71205,0.0044,3.8957101449275373
64.03831,348.9531,295.3357,63.9262,30.9164,27.3311,26.4443,48.84665,0.0057,3.8853188405797123
64.54086833333334,349.2057,296.2945,63.9052,31.0008,27.3535,26.4785,49.08655,0.0022,3.834144927536228
65.03916666666666,347.0007,293.4749,63.9014,31.1801,27.3872,26.5127,48.6573,0.004,3.87868115942029
65.54164166666666,351.2148,297.7508,63.8668,31.2239,27.4102,26.5469,49.3177,0.006,3.8742028985507244
66.04082166666667,349.7746,296.0032,63.8457,31.2943,27.4326,26.5815,48.755250000000004,0.0037,3.896478260869567
66.54164833333333,346.5202,292.8978,63.8227,31.3813,27.4551,26.6157,48.368300000000005,0.0044,3.8856811594202876
67.04164333333333,348.9045,296.0401,63.797,31.483,27.4893,26.6499,49.159400000000005,0.0044,3.830753623188405
67.54247166666667,351.2468,298.5564,63.7633,31.5074,27.5117,26.6724,48.8442,0.0046,3.8181449275362325
68.04333333333334,351.7412,298.8996,63.7436,31.5987,27.5342,26.7065,48.634600000000006,0.0061,3.82910144927536
68.54331166666665,349.5109,296.7386,63.7248,31.7047,27.5679,26.7407,48.41674999999999,0.0051,3.8240797101449253
69.04413833333334,349.8789,297.3039,63.7068,31.8615,27.5908,26.7749,49.0097,0.004,3.809782608695651
69.54333666666666,353.3081,300.7733,63.7049,31.9506,27.6133,26.8091,48.2167,0.0064,3.8068695652173923
70.04331499999999,356.187,303.2553,63.7023,31.9418,27.6357,26.8433,48.9683,0.0103,3.835630434782611
70.54247833333334,345.4867,292.7378,63.6819,31.951,27.6694,26.8662,48.432050000000004,0.0034,3.8223840579710138
71.04496999999999,350.9122,298.2493,63.6737,32.1819,27.6924,26.9004,49.0571,0.0053,3.816152173913042
71.54415,350.6991,298.6165,63.6422,32.2027,27.7261,26.9346,48.45165,0.0061,3.774101449275363
72.04581,352.0278,299.4217,63.6236,32.3069,27.7598,26.9575,49.3391,0.0086,3.8120362318840595
72.54497333333333,344.9385,292.6568,63.5954,32.262,27.7715,26.9917,48.9033,0.0032,3.7885289855072464
73.04581666666667,350.6436,298.456,63.607,32.4563,27.8052,27.0259,48.1945,0.0062,3.7817101449275343
73.546645,350.5269,298.3159,63.6002,32.4915,27.8276,27.0488,48.8287,0.0076,3.78340579710145
74.04665666666666,354.9783,302.3436,63.6091,32.5969,27.8618,27.083,48.496449999999996,0.0108,3.8141086956521746
74.54748500000001,351.0837,298.8965,63.6025,32.5144,27.8843,27.1055,48.6303,0.0052,3.781681159420291
75.04581666666667,352.5625,290.2643,63.5949,32.237,27.9067,27.1396,48.5256,0.0032,4.51436231884058
75.548325,346.9197,287.9308,63.589,27.7935,27.9292,27.1626,48.7051,0.0022,4.2745579710144925
76.04915166666666,354.1618,298.4206,63.6178,27.9773,27.9634,27.1055,48.6833,0.0073,4.039217391304351
76.54665166666668,350.8393,295.3303,63.5624,29.3704,27.9971,26.9463,49.322100000000006,0.0047,4.022391304347823
77.04831,346.1051,288.8829,63.5389,30.0925,28.0308,26.855,48.75205,0.0022,4.146536231884057
77.547475,350.612,292.5582,63.5127,30.0306,28.0537,26.8662,48.29474999999999,0.0032,4.206797101449276
78.046655,350.8486,293.8236,63.5126,29.8526,28.0762,26.9121,48.7071,0.0044,4.132246376811592
78.54831333333333,345.2893,288.3742,63.4958,29.9821,28.1099,26.9687,48.6259,0.0022,4.124282608695656
79.04749333333332,350.9249,293.9283,63.4786,30.249,28.144,27.0259,48.8711,0.0024,4.130188405797101
79.55000166666667,353.2682,295.9986,63.4681,30.281,28.1665,27.0488,49.21865,0.0057,4.149971014492751
80.04915,346.5943,289.4676,63.442,30.284,28.189,27.0942,48.69485,0.002,4.139615942028983
80.55080833333334,350.8241,294.3166,63.404,30.466,28.2227,27.1284,48.8137,0.003,4.094746376811593
81.05163666666667,347.6266,290.6439,63.3881,30.6238,28.2339,27.1626,48.25575,0.0015,4.129181159420291
81.55081666666666,352.5485,296.1363,63.3761,30.7456,28.2568,27.208,48.9065,0.0049,4.087840579710144
82.05081166666668,352.1563,296.0037,63.3536,30.7552,28.2793,27.2427,49.0082,0.005,4.069028985507247
82.55165666666667,346.4011,290.1575,63.3391,30.8529,28.313,27.2769,48.37465,0.0033,4.075623188405794
83.05082,350.5724,294.5,63.3264,31.0121,28.3359,27.311,48.45885,0.0037,4.063217391304349
83.550815,348.7154,293.0418,63.3059,31.1166,28.3584,27.3564,48.5291,0.0039,4.034318840579707
84.05330666666667,350.4202,294.8003,63.3016,31.1328,28.3809,27.3794,49.1363,0.0061,4.030427536231886
84.55080666666666,351.4117,295.9312,63.2867,31.2479,28.4033,27.4136,48.431749999999994,0.0054,4.020326086956522
85.05081833333334,351.6584,296.2913,63.2701,31.3751,28.4263,27.4478,49.0691,0.0042,4.012108695652174
85.55332666666666,349.5726,294.2161,63.2466,31.4213,28.46,27.4819,48.571200000000005,0.0022,4.011340579710148
86.05415500000001,352.2227,296.9492,63.221,31.5318,28.4824,27.5161,49.14915,0.0052,4.005326086956519
86.553335,350.1155,294.7143,63.1988,31.6392,28.5049,27.5503,48.26265,0.0046,4.014579710144929
87.054145,353.8339,298.6338,63.1958,31.7356,28.5278,27.5845,48.45385,0.0062,4.000007246376813
87.55415833333333,350.1392,295.0372,63.1906,31.7707,28.5503,27.6187,48.63165,0.004,3.99289855072464
88.05501833333332,344.3326,289.061,63.1874,31.848,28.5728,27.6528,49.00275,0.0022,4.005188405797104
88.55583,347.442,291.9752,63.1783,32.0479,28.5952,27.6758,48.83835,0.0036,4.019333333333336
89.05580833333333,348.3483,293.0211,63.1473,32.0825,28.6182,27.71,48.865700000000004,0.0044,4.009217391304348
89.55498833333333,351.2426,296.1037,63.1287,32.08,28.6406,27.7441,48.882400000000004,0.0062,3.9955724637681143
90.05749666666667,347.5436,292.082,63.1034,32.123,28.6743,27.7666,48.65635,0.0058,4.018956521739133
90.55667666666666,352.5806,297.9233,63.0941,32.2575,28.6968,27.8008,48.3108,0.0057,3.9606739130434794
91.056655,354.3001,299.4057,63.0724,32.352,28.7197,27.835,48.81975,0.0075,3.977855072463765
91.55748333333332,345.1221,290.231,63.065,32.364,28.7422,27.8579,48.9774,0.0049,3.9776159420289847
92.05664666666667,351.9727,297.4993,63.0547,32.5298,28.7646,27.8921,48.60785,0.0065,3.947347826086954
92.55830666666667,350.6617,296.1586,63.0346,32.5209,28.7871,27.9263,48.58625,0.007,3.949500000000001
93.05747,349.5427,295.2992,63.0075,32.5629,28.8213,27.9492,48.783150000000006,0.0063,3.9306884057971043
93.55836333333333,351.3323,296.8999,62.9948,32.6721,28.8325,27.9722,48.41175,0.0059,3.944376811594201
94.05915833333333,353.1862,298.8018,62.9836,32.7085,28.8662,28.0063,49.11625,0.0086,3.9408985507246355
94.55913666666667,350.941,296.6808,62.983,32.743,28.8887,28.0405,48.54745,0.0077,3.9318985507246373
95.05833333333334,352.7288,298.0793,62.9528,32.7772,28.9116,28.063,48.91955,0.0053,3.9601086956521727
95.55831166666667,345.9338,291.2031,62.9463,32.9303,28.9341,28.0859,48.68645,0.0049,3.965992753623189
96.05915666666667,350.556,296.6021,62.947,33.1352,28.9565,28.1201,48.18765,0.0065,3.9097028985507225
96.55830333333333,351.8406,297.5974,62.9359,33.0459,28.9907,28.1431,48.7762,0.007,3.9306666666666668
97.059165,349.7844,295.5361,62.9213,33.0575,29.0132,28.1655,48.84865,0.0054,3.9310362318840597
97.55748,350.0551,296.7143,62.9036,33.1827,29.0356,28.1885,48.99315,0.0063,3.8652753623188403
98.05997166666666,349.724,295.3135,62.9033,33.2674,29.0581,28.2227,48.566,0.0073,3.9427898550724647
98.55915166666666,351.8464,298.9101,62.9031,33.2624,29.0811,28.2456,48.92015,0.007,3.835963768115943
99.06166,352.6933,299.2716,62.9012,33.2987,29.1035,28.2681,48.9238,0.0068,3.871137681159423
99.561655,347.7107,294.4776,62.898,33.4064,29.126,28.3027,49.09165,0.0047,3.8574710144927518
100.06248166666666,353.2922,299.6324,62.8729,33.497,29.1597,28.314,48.2536,0.0071,3.8883913043478233
100.56083,355.3665,297.3838,62.8507,33.4787,29.1826,28.3481,48.83655,0.0044,4.201644927536229
101.06332166666667,345.6579,280.0026,62.8483,31.3063,29.2051,28.3594,48.7734,0.0003,4.757630434782609
101.560805,346.129,286.6449,62.8491,28.6635,29.2275,28.3711,48.5459,0.001,4.310442028985508
102.06331333333333,351.8224,294.3106,62.8327,29.7214,29.2612,28.2681,48.495999999999995,0.0068,4.167521739130434
102.56166166666667,352.835,294.8771,62.8353,30.5208,29.2842,28.1431,48.2325,0.0042,4.199847826086956
103.06082500000001,351.5356,291.6459,62.8302,30.8707,29.3179,28.0747,48.9758,0.004,4.339833333333334
103.56331666666667,349.384,289.9431,62.8366,30.6466,29.3403,28.0747,48.527,0.0013,4.307311594202898
