time_min,Jw,Js,Js_Jw
0.0,7.873318840579713,0.7782433460869566,0.09884565350965191
2.002524999999999,7.431188405797103,0.7722210276328502,0.10391622247532267
4.002509999999999,7.268630434782612,0.7686594871497584,0.105750250208277
6.003351666666666,7.436891304347825,0.7764445131400967,0.10440444553575287
8.004195,7.534202898550723,0.7758418031642513,0.10297596356390827
10.006668333333332,7.419413043478261,0.7939579445893719,0.10701088346702425
12.009191666666664,7.062137681159423,0.7899931792512076,0.11186318009046672
14.010001666666666,7.955289855072465,0.7886300371014492,0.09913278478452946
16.00999666666667,7.529514492753624,0.8022476374758453,0.10654706067010367
18.012523333333334,7.9012246376811595,0.8082611810748791,0.10229568429433826
20.011668333333333,8.170927536231885,0.8276252345893719,0.10128901901521949
22.01,8.036166666666665,0.7837228202898551,0.09752446070346832
24.02,7.114557971014493,0.7965970342995168,0.11196718581041049
26.02,7.72577536231884,0.7862110531400965,0.10176467943589296
28.02,7.622181159420291,0.7810654816425119,0.1024726997832096
30.02,7.7321159420289876,0.789721133816425,0.10213519038479316
32.02,7.769565217391306,0.8012357352657004,0.10312491276503136
34.02,7.42,0.8421,0.11349056603773584
36.02,7.342,0.7998,0.10893489512394443
38.02,7.425,0.7845,0.10565656565656566
40.02,8.214,0.8012,0.09754078402727051
42.0,8.390065217391303,0.8068458071859903,0.09616680994487672
44.0,7.975326086956523,0.805462680736715,0.10099432574349934
46.0,7.6878260869565205,0.7888629860507246,0.10261197081306792
48.0,7.264115942028985,0.8057330636231885,0.11091963152203409
50.0,7.124159420289855,0.7985,0.11091963152203409
