time_min,Jw,SD,recovery_pct,feed_cond_uScm,feed_toc
0.4966833333333333,8.028949275362319,0.0489380011631402,25.0,4316.0,102.630883099454
8.002508333333333,8.13052753623189,0.0675261895984005,25.0,4316.0,102.630883099454
20.45319,8.013347826086957,0.0706449970672408,25.0,4316.0,102.630883099454
30.459856666666667,7.344586956521739,0.4250431671304918,25.0,4316.0,102.630883099454
44.467375,7.809021739130435,0.2436996481963262,37.07116080661841,5076.000284384695,125.21638180426991
59.47486333333333,7.818268115942026,0.2136621544552257,50.00970337855813,5891.804828411811,149.4464319434975
71.97991,6.489398550724639,0.218756964,74.95991620111732,10532.544413407823,251.80907286465225
91.49072,4.887072463768115,0.31357451226957,80.00036,12580.18576,321.9528808505795
101.49236166666668,3.6951666666666663,0.3261158491943021,85.000842850345,15160.852964549138,402.07003382482986
107.498215,6.047108695652171,0.2330053808685548,87.14425945753034,17329.990571020702,465.63997346513366
115.504035,4.873840579710146,0.1464658048277031,90.0,20220.0,550.336179188554
