time_min,Jw,SD
0.49668333333333337,8.028949275362319,0.0489380011631402
8.002508333333333,8.13052753623189,0.06752618959840051
20.45319,8.013347826086957,0.07064499706724085
30.459856666666667,7.344586956521739,0.4250431671304918
44.467375000000004,7.809021739130435,0.24369964819632625
59.47486333333333,7.818268115942026,0.2136621544552257
71.97991,6.489398550724639,0.218756964
91.49072,4.887072463768115,0.31357451226957
101.49236166666667,3.6951666666666667,0.3261158491943021
107.498215,6.047108695652171,0.2330053808685548
115.50403499999999,4.873840579710146,0.14646580482770313
