test,flow_Lh,TMP_bar,rejection,perm_flow_Lh,recovery,perm_cond_avg_mScm,feed_cond_avg_mScm
1,650,30,0.9721067644661777,16,0.024615384615384615,1.3806666666666665,49.51666666666667
2,650,40,0.9890743713215623,51,0.07846153846153846,0.5445333333333334,49.839999999999996
3,650,50,0.9921473934903413,88,0.13538461538461538,0.39566666666666667,50.38666666666666
