model,holdout_R2,TimeSeriesSplit_CV_R2_mean,TimeSeriesSplit_CV_R2_std
RandomForest (baseline features),-0.05549763600634239,-3.575411088741471,5.966154721921595
RandomForest (+engineered features),0.5664350714555331,-0.05388630073303955,0.8045452331834209
HistGradientBoosting (tuned),0.38560383126778297,-0.05682026295174296,0.641700868354315
XGBoost (tuned),0.32265784844810197,-0.39919431975242625,1.0385670168730787
